河南-中国电信-酒店,#genre#
CCTV1,http://171.8.138.196:85/tsfile/live/0001_1.m3u8
CCTV2,http://171.8.138.196:85/tsfile/live/0002_1.m3u8
CCTV3,http://171.8.138.196:85/tsfile/live/0003_1.m3u8
CCTV4,http://171.8.138.196:85/tsfile/live/0004_1.m3u8
CCTV5,http://171.8.138.196:85/tsfile/live/0005_1.m3u8
CCTV6,http://171.8.138.196:85/tsfile/live/0006_1.m3u8
CCTV7,http://171.8.138.196:85/tsfile/live/0007_1.m3u8
CCTV8,http://171.8.138.196:85/tsfile/live/0008_1.m3u8
CCTV9,http://171.8.138.196:85/tsfile/live/0009_1.m3u8
CCTV10,http://171.8.138.196:85/tsfile/live/0010_1.m3u8
CCTV11,http://171.8.138.196:85/tsfile/live/0011_1.m3u8
CCTV12,http://171.8.138.196:85/tsfile/live/0012_1.m3u8
CCTV13,http://171.8.138.196:85/tsfile/live/0013_1.m3u8
CCTV14,http://171.8.138.196:85/tsfile/live/0014_1.m3u8
CCTV15,http://171.8.138.196:85/tsfile/live/0015_1.m3u8
河南卫视,http://171.8.138.196:85/tsfile/live/0139_1.m3u8
北京卫视,http://171.8.138.196:85/tsfile/live/0122_1.m3u8
山东卫视,http://171.8.138.196:85/tsfile/live/0131_1.m3u8
广东卫视,http://171.8.138.196:85/tsfile/live/0125_1.m3u8
辽宁卫视,http://171.8.138.196:85/tsfile/live/0121_1.m3u8
江西卫视,http://171.8.138.196:85/tsfile/live/0138_1.m3u8
深圳卫视,http://171.8.138.196:85/tsfile/live/0126_1.m3u8
广西卫视,http://171.8.138.196:85/tsfile/live/0113_1.m3u8
天津卫视,http://171.8.138.196:85/tsfile/live/0135_1.m3u8
云南卫视,http://171.8.138.196:85/tsfile/live/0119_1.m3u8
东南卫视,http://171.8.138.196:85/tsfile/live/0137_1.m3u8
山西卫视,http://171.8.138.196:85/tsfile/live/0118_1.m3u8
青海卫视,http://171.8.138.196:85/tsfile/live/0140_1.m3u8
新疆卫视,http://171.8.138.196:85/tsfile/live/0110_1.m3u8
都市,http://171.8.138.196:85/tsfile/live/1000_1.m3u8
民生,http://171.8.138.196:85/tsfile/live/1001_1.m3u8
法制,http://171.8.138.196:85/tsfile/live/1002_1.m3u8
新闻,http://171.8.138.196:85/tsfile/live/1003_1.m3u8
公共,http://171.8.138.196:85/tsfile/live/1004_1.m3u8
移动戏曲,http://171.8.138.196:85/tsfile/live/1005_1.m3u8
梨园,http://171.8.138.196:85/tsfile/live/1006_1.m3u8
湖南卫视,http://171.8.138.196:85/tsfile/live/0128_1.m3u8
浙江卫视,http://171.8.138.196:85/tsfile/live/0124_1.m3u8
上海卫视,http://171.8.138.196:85/tsfile/live/0107_1.m3u8
重庆卫视,http://171.8.138.196:85/tsfile/live/0142_1.m3u8
CCTV1,http://106.46.114.240:8011/tsfile/live/0001_1.m3u8
CCTV2,http://106.46.114.240:8011/tsfile/live/0002_1.m3u8
CCTV3,http://106.46.114.240:8011/tsfile/live/0003_1.m3u8
